ciudad_casa,ubicacion,zona,ventaoalquiler,descripespecif,metrajeconstruc,metrajeterreno,precio,unidadterreno,seguridad,piscina/jacuzzi,terraza,baños,parqueo,financiamiento,zon_comercial,areasocial
Quito,Av. Mariscal Sucre,quito - norte,VENTA,Casa,580.0,480.0,160000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Quito,Av. Progreso 1401 Y Novena Transversal,quito - periférico,VENTA,Casa,300.0,1200.0,375000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Guayaquil,Por El Condor A 300 Mts De La Av Orellana,gquil - norte,VENTA,Club De Eventos,420.0,330.0,148000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Bogota 1008,gquil - sur,VENTA,Villa,650.0,550.0,225000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Aguirre 426 Y Entre Chile Y Chimborazo Frente A Cc Unicentro,gquil - centro,VENTA,Edificio,1500.0,211.0,580000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
GUAYAQUIL,Cimas,gquil - ceibos & vía a la costa,VENTA,VILLA,500.0,816.0,222000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Los Senderos,gquil - ceibos & vía a la costa,VENTA,VILLA,240.0,200.0,135000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,A 2 Min De Riocentro Ceibos,gquil - ceibos & vía a la costa,VENTA,CASA,500.0,500.0,250000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Aguirre 2204,gquil - centro,VENTA,Villa,750.0,1100.0,375000.0,m2,0,0.0,0.0,0,1.0,0.0,0.0,0.0
Guayaquil,Km 4,gquil - samborondón,VENTA,Casa,380.0,600.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1,gquil - samborondón,VENTA,Villa,420.0,366.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Loja,Cdla Nuevo Amanecer,otras zonas / sierra & oriente,VENTA,Casa,180.0,274.0,46000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 2,gquil - samborondón,VENTA,Villa,700.0,2000.0,750000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1.5,gquil - samborondón,VENTA,Casa,700.0,1987.0,750000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 3,gquil - samborondón,VENTA,Villa,270.0,300.0,185000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Hurtado 906 Y Tungurahua,gquil - centro,VENTA,Casa,903.0,298.0,180000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Matices,gquil - samborondón,VENTA,Villa,160.0,198.0,95000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,A 3 Min Riocentro Ceibos,gquil - ceibos & vía a la costa,ALQUILER,OFICINA,750.0,1615.0,6000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 5,gquil - samborondón,VENTA,Villa,270.0,300.0,198000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Km. 5.5,gquil - norte,VENTA,LOCAL,1803.0,3747.0,1100000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Cerca Iglesia Redonda,gquil - norte,VENTA,Villa,480.0,800.0,480000.0,m2,1,0.0,0.0,0,0.0,0.0,1.0,1.0
