ciudad_casa,ubicacion,zona,ventaoalquiler,descripespecif,metrajeconstruc,metrajeterreno,precio,unidadterreno,seguridad,piscina/jacuzzi,terraza,baños,parqueo,financiamiento,zon_comercial,areasocial
Guayaquil,Puerto Azul,gquil - ceibos & vía a la costa,VENTA,Villa,290.0,375.0,210000.0,m2,0,0.0,0.0,1,0.0,0.0,0.0,0.0
Guayaquil,Ciudad Celeste,gquil - samborondón,VENTA,Villa,133.0,180.0,89000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Palmar Del Río,gquil - samborondón,VENTA,Casa,539.0,609.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7.5 Vía A Daule,gquil - norte,VENTA,Fabrica,950.0,1100.0,1000000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Cimas,gquil - ceibos & vía a la costa,VENTA,VILLA,650.0,4500.0,650000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,ALQUILER,Casa,700.0,700.0,3500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Ciudad Celeste,gquil - samborondón,VENTA,CASA,240.0,311.0,160000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Avda Leopoldo Carrera,gquil - ceibos & vía a la costa,VENTA,CASA,300.0,280.0,190000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Santa Maria Casa Grande,gquil - samborondón,VENTA,Villa,190.0,366.0,160000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Bálsamos Norte,gquil - norte,VENTA,Casa,600.0,800.0,278000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Estancias Del Rio,gquil - samborondón,VENTA,Casa,230.0,426.0,175504.0,m2,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Palmar Del Rio,gquil - samborondón,VENTA,Casa,380.0,750.0,395000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1 Via Samborondon,gquil - samborondón,VENTA,Villa,650.0,1050.0,490000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 3,gquil - samborondón,ALQUILER,Villa,200.0,220.0,1000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1,gquil - samborondón,ALQUILER,Villa,380.0,320.0,1250.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Sector Mc Donalld Ceibos,gquil - ceibos & vía a la costa,VENTA,VILLA,548.0,460.0,300000.0,m2.,0,0.0,0.0,0,0.0,0.0,0.0,1.0
GUAYAQUIL,Km 2,gquil - samborondón,VENTA,VILLA,398.0,500.0,360000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Urb. La Joya,gquil - samborondón,ALQUILER,Casa,104.0,174.0,460.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,VENTA,Casa,115.0,220.0,155000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 6,gquil - samborondón,VENTA,Casa,415.0,495.0,365000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 9,gquil - samborondón,VENTA,Casa,300.0,600.0,380000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Km 9,gquil - samborondón,ALQUILER,Casa,300.0,600.0,3500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Km 4,gquil - samborondón,VENTA,Casa,218.0,300.0,218000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 3.5,gquil - samborondón,VENTA,Casa,290.0,350.0,270000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Km 1,gquil - samborondón,VENTA,Casa Duplex,450.0,437.0,265000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
AZOGUES,Calle 16 Abril,otras zonas / sierra & oriente,VENTA,Edificio,435.0,235.0,260000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 5,gquil - samborondón,ALQUILER,Villa,220.0,500.0,2000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 5,gquil - samborondón,ALQUILER,Casa,370.0,700.0,3000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Palmar Del Rio,gquil - samborondón,VENTA,Villa,370.0,700.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Quito,Calle H N49-34,quito - norte,VENTA,Casa,208.0,310.0,140000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 4,gquil - samborondón,VENTA,Casa,447.0,532.0,390000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 87,gquil - ceibos & vía a la costa,VENTA,Finca,60.0,15.0,50000.0,Ha,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ciudad Celeste,gquil - samborondón,VENTA,Casa,130.0,170.0,99000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Km 10,gquil - samborondón,VENTA,Casa,207.0,434.0,185000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Cdla Los Ceibos,gquil - ceibos & vía a la costa,VENTA,Casa,750.0,2980.0,610000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,A 1 Minuto Riocentro,gquil - ceibos & vía a la costa,VENTA,VILLA,402.0,550.0,380000.0,m2.,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1,gquil - samborondón,VENTA,Villa,1152.0,1729.0,760000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,A 2 Minutos Riocentro,gquil - ceibos & vía a la costa,ALQUILER,Villa,400.0,350.0,2800.0,m2,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 4 Via Samborondon,gquil - samborondón,VENTA,Casa,370.0,700.0,355000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 4 Via Samborondon,gquil - samborondón,ALQUILER,Casa,370.0,700.0,3500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,A 7 Min Riocentro Ceibos,gquil - ceibos & vía a la costa,VENTA,Casa,200.0,300.0,150000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ciudad Celeste,gquil - samborondón,VENTA,Villa,150.0,180.0,103000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1,gquil - samborondón,ALQUILER,Casa,765.0,500.0,3800.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 2,gquil - samborondón,VENTA,Casa,600.0,430.0,430000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,VENTA,Casa,620.0,680.0,570000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,ALQUILER,Casa,620.0,680.0,3200.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,VENTA,Casa,365.0,482.0,298000.0,m2,0,0.0,0.0,2,0.0,0.0,0.0,0.0
Guayaquil,Km 4,gquil - samborondón,VENTA,Casa,260.0,258.0,175000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Puerto Azul,gquil - ceibos & vía a la costa,VENTA,VILLA,150.0,165.0,115000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Sector Ceibos. Cdla. Cerrada,gquil - ceibos & vía a la costa,VENTA,Casa,640.0,460.0,185000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Km 7.5 Via Samborondon,gquil - samborondón,VENTA,Casa,420.0,600.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Matices,gquil - samborondón,VENTA,Villa,147.0,217.0,92000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Manz. C # 33 A Lado Del Riocentro Sur,gquil - sur,VENTA,Casa,381.0,300.0,106000.0,m2,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,A 7 Min De Riocentro,gquil - samborondón,VENTA,Casa,240.0,240.0,200000.0,m2,1,0.0,0.0,0,0.0,0.0,0.0,1.0
SALINAS,Inicio Ruta Del Sol,península & ruta del sol,ALQUILER,VILLA,250.0,300.0,700.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Salinas,Cerca Del Mar,península & ruta del sol,ALQUILER,Villa,600.0,1500.0,2500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,A 2 Min De Riocentro,gquil - samborondón,VENTA,Casa,180.0,220.0,168000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,A 7 Min De Riocentro,gquil - samborondón,VENTA,Villa,240.0,300.0,195000.0,m2,1,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Entre Lagos,gquil - samborondón,VENTA,Casa,230.0,427.0,225000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
El triunfo,Via Duran Tambo,otras zonas / costa & galap.,VENTA,Restaurant,1800.0,1800.0,330000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Samborondon Km 7.5,gquil - samborondón,VENTA,Casa,700.0,710.0,480000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,La Puntilla,gquil - samborondón,VENTA,Casa,411.0,1650.0,525000.0,m2,0,0.0,0.0,762,0.0,0.0,0.0,0.0
GUAYAQUIL,sector campus politécnica,gquil - ceibos & vía a la costa,ALQUILER,VILLA,400.0,248.0,1600.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Area Cerrada Con Guardianía,gquil - ceibos & vía a la costa,VENTA,CASA DUPLEX,255.0,270.0,160000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,ALQUILER,Casa,260.0,600.0,2000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,A 2 Minutos Hilton,gquil - norte,ALQUILER,Local,323.0,400.0,6000.0,m2,0,0.0,0.0,0,1.0,0.0,1.0,0.0
Guayaquil,Ciudad Celeste,gquil - samborondón,VENTA,Villa,100.0,170.0,82000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,VENTA,Villa,700.0,710.0,595000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Bosques De Castilla,gquil - samborondón,ALQUILER,Villa,700.0,710.0,1300.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Pto.azul,gquil - ceibos & vía a la costa,VENTA,Villa,200.0,252.0,168000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 4,gquil - samborondón,VENTA,Villa,360.0,450.0,270000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Muy Cerca Riocentro,gquil - samborondón,VENTA,Casa,490.0,500.0,280000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ciudad Celeste,gquil - samborondón,VENTA,Villa,100.0,180.0,78000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Urb. Torre Del Sol,gquil - samborondón,VENTA,Casa,408.0,555.0,265500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Circunvalacíon Sur 509,gquil - norte,VENTA,Casa,400.0,800.0,300000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Muy Cerca Riocentro,gquil - samborondón,ALQUILER,Villa,250.0,250.0,1300.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,VENTA,Villa,269.0,210.0,178000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,VENTA,Villa,270.0,454.0,255000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Lorenzo De Garaicoa 3624 Y Colombia,gquil - centro,VENTA,Casa,307.0,181.0,125000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Cerca De La Comisión De Tránsito,gquil - norte,VENTA,Bodega,700.0,900.0,278000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ave. Agustin Freire,gquil - norte,VENTA,Local,440.0,220.0,320000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Rio Grande,gquil - samborondón,VENTA,Villa,600.0,800.0,470000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Km. 12 1/2,gquil - samborondón,VENTA,CASA,163.0,160.0,110000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km. 12,gquil - samborondón,VENTA,Casa,132.0,180.0,85500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Juncos 104,gquil - ceibos & vía a la costa,VENTA,Casa,192.0,250.0,120000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Bonanova,gquil - ceibos & vía a la costa,VENTA,Casa,180.0,250.0,159000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Laguna Dorada,gquil - samborondón,VENTA,Casa,800.0,1700.0,920000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 4,gquil - samborondón,VENTA,Villa,350.0,600.0,390000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Salinas,Ave. 18 Solar 12 Y 14 Mz 41x,península & ruta del sol,VENTA,Casa,100.0,500.0,45000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Manzana 873 Villa 36,gquil - ceibos & vía a la costa,VENTA,Casa,250.0,268.0,162000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 13.5 Via Aurora Samborondon,gquil - samborondón,VENTA,Villa,140.0,322.0,110000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Quito,Conjuto Marianitas,quito - periférico,VENTA,Casa Duplex,78.0,82.0,35000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 2,gquil - samborondón,ALQUILER,Casa,280.0,700.0,2500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Quevedo,La Mana,otras zonas / costa & galap.,VENTA,Plantel,3700.0,5600.0,260000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 4,gquil - samborondón,VENTA,Villa,600.0,1090.0,540000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,La Puntilla,gquil - samborondón,VENTA,Villa,510.0,800.0,360000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Puerto Azul,gquil - ceibos & vía a la costa,ALQUILER,Villa,596.0,1214.0,2900.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Portofino,gquil - ceibos & vía a la costa,VENTA,Villa,195.0,307.0,160000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Riberas Batan,gquil - samborondón,VENTA,Villa,350.0,750.0,380000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Portofino,gquil - ceibos & vía a la costa,VENTA,Villa,155.0,206.0,128300.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1,gquil - samborondón,VENTA,Villa,947.0,425.0,376000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7 Via Samborondon,gquil - samborondón,VENTA,Casa,300.0,500.0,398000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Riberas Batan,gquil - samborondón,VENTA,Villa,350.0,750.0,380000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Los Ceibos,gquil - ceibos & vía a la costa,VENTA,Casa,350.0,715.0,250000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Cuenca,Junto A La Escuela Borja,otras zonas / sierra & oriente,VENTA,Casa,283.0,268.0,145000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Santa Maria Casa Grande,gquil - samborondón,VENTA,Casa,152.0,175.0,105000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,0.0
Guayaquil,Puerto Azul,gquil - ceibos & vía a la costa,ALQUILER,Villa,400.0,964.0,1700.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Quito,Guayllabamba,quito - periférico,VENTA,Hacienda,411.0,9237.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Urb. Portofino,gquil - ceibos & vía a la costa,VENTA,Villa,155.0,17941.0,130000.0,m2,0,0.0,0.0,3,1.0,0.0,0.0,0.0
Guayaquil,Terrasol,gquil - samborondón,VENTA,Villa,196.0,240.0,183000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,San Felipe,gquil - norte,VENTA,Casa,130.0,140.0,66000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Garzota,gquil - norte,VENTA,Casa,104.0,113.0,82000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Santa Maria De Casa Grande,gquil - samborondón,VENTA,Villa,250.0,360.0,180000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,La Ribera De Batán,gquil - samborondón,VENTA,Casa,350.0,750.0,425000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Matices,gquil - samborondón,VENTA,Casa,185.0,285.0,135000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Portafino,gquil - ceibos & vía a la costa,VENTA,Casa,155.0,280.0,125000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ensenada Mocoli,gquil - samborondón,VENTA,Casa,320.0,600.0,294950.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Zona Exclusiva,gquil - norte,VENTA,Villa,740.0,1300.0,500000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Zona Exclusiva,gquil - norte,VENTA,Villa,621.0,933.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Zona Residencial,gquil - norte,VENTA,Villa,320.0,906.0,230000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,1.0
Guayaquil,Colon Y Malecón,gquil - centro,VENTA,Edificio,1200.0,1200.0,1200000.0,m2,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1,gquil - samborondón,ALQUILER,Villa,500.0,926.0,3200.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Puerto Azul,gquil - ceibos & vía a la costa,VENTA,Villa,440.0,520.0,320000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Penins. Sta. Elena,Guayaquil Y 24 De Mayo,otras zonas / costa & galap.,ALQUILER,Edificio,276.0,132.0,3000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Cerca Hilton,gquil - norte,VENTA,Villa,612.0,450.0,300000.0,m2,0,0.0,0.0,0,0.0,0.0,1.0,0.0
Guayaquil,Zona Residencial,gquil - norte,VENTA,Villa,298.0,400.0,190000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Sector Exclusivo,gquil - norte,VENTA,Villa,601.0,920.0,285000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Porton De Las Lomas,gquil - norte,VENTA,Villa,330.0,330.0,300000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 2.5 Santa Maria Iii,gquil - samborondón,VENTA,Dpto.,141.0,153.0,125000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 3,gquil - samborondón,VENTA,Villa,450.0,535.0,455000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 8,gquil - samborondón,VENTA,Villa,247.0,370.0,185000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Av De La America 605 Y Calle 5ta.,gquil - norte,VENTA,Casa,355.0,625.0,480000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Mc Donald Ceibos,gquil - ceibos & vía a la costa,VENTA,VILLA,455.0,750.0,420000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Mc Donald Ceibos,gquil - ceibos & vía a la costa,VENTA,VILLA,380.0,500.0,280000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Cuenca,París Y Roma,otras zonas / sierra & oriente,VENTA,Casa,380.0,365.0,190000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Bahía de Caraquez,García Moreno 508 Y Esmeraldas,otras zonas / costa & galap.,VENTA,Casa,86.0,210.0,52000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Puerto Azul,gquil - ceibos & vía a la costa,VENTA,Villa,240.0,278.0,179000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Playas,Km. 9 1/2 Vía Data,península & ruta del sol,VENTA,Villa,250.0,500.0,85000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Castelago,gquil - samborondón,VENTA,Villa,440.0,1250.0,650000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 6,gquil - samborondón,ALQUILER,Casa,500.0,700.0,4000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Bucay,Km 83 Carretera Guayaquil Bucay,otras zonas / costa & galap.,VENTA,Finca,105.0,9721.0,75000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Sto. Domingo,Digonal Universidad Ogmandino,otras zonas / sierra & oriente,ALQUILER,Dpto.,120.0,10000.0,320.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Mc Donald Ceibos,gquil - ceibos & vía a la costa,VENTA,VILLA,550.0,815.0,350000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Calle E #205 Y Avda. Olimpo,gquil - norte,VENTA,Casa,300.0,200.0,140000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,VENTA,Casa Duplex,307.0,310.0,275000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,VENTA,Villa,240.0,310.0,260000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Urb. Riberas Del Batan,gquil - samborondón,VENTA,VILLA,320.0,750.0,390000.0,m2.,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Km 9,gquil - samborondón,ALQUILER,Casa Duplex,380.0,352.0,1500.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1,gquil - samborondón,VENTA,Casa,360.0,315.0,220000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Ciudadela Cerrada,gquil - ceibos & vía a la costa,VENTA,CASA DUPLEX,200.0,321.0,180000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 7,gquil - samborondón,VENTA,Villa,270.0,310.0,260000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Puerto Azul,gquil - ceibos & vía a la costa,VENTA,Villa,302.0,246.0,160000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Guayaquil,Puerto Azul,gquil - ceibos & vía a la costa,VENTA,Villa,325.0,564.0,235000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
Salinas,Manzana C Solar 24,península & ruta del sol,ALQUILER,Villa,162.0,220.0,1200.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,La Ensenada,gquil - samborondón,VENTA,Villa,330.0,644.0,320000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Vista Sol,gquil - samborondón,VENTA,Casa,230.0,316.0,206000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ceibos,gquil - ceibos & vía a la costa,VENTA,Casa,255.0,269.0,165000.0,m2,1,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Urb. Vicrieel. Vía Samborondón Km 13.5 Frente Al Colegio Torremar,gquil - samborondón,VENTA,CASA,100.0,120.0,62000.0,m2.,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Mz 12 V. 1,gquil - norte,VENTA,Villa,175.0,200.0,70000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Km 1,gquil - samborondón,ALQUILER,Casa,360.0,315.0,1800.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Av. Jaime Roldos Aguilera S/n,gquil - norte,VENTA,Oficina,50.0,1200.0,78000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Urb. El Condado. Via Samborondon Km. 14.5,gquil - samborondón,VENTA,CASA,140.0,199.0,100000.0,m2.,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Ubr.condado Via A Samborondon Km 14.5,gquil - samborondón,VENTA,Casa,110.0,133.0,67000.0,m2,1,0.0,0.0,0,0.0,0.0,0.0,0.0
Sto. Domingo,Urbanización Privada,otras zonas / sierra & oriente,VENTA,Casa,500.0,785.0,250000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Avenida Comercial,gquil - norte,VENTA,Casa,320.0,480.0,255000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,1.0
GUAYAQUIL,Conjunto Privado,gquil - ceibos & vía a la costa,VENTA,CASA,168.0,138.0,115000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Las Cumbres,gquil - ceibos & vía a la costa,VENTA,CASA,400.0,800.0,218000.0,m2,0,0.0,1.0,0,0.0,0.0,0.0,0.0
Guayaquil,Lago De Capeira,gquil - norte,VENTA,Casa,648.0,901.0,150000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
Guayaquil,Lorenzo De Garaycoa 605 Y Urdaneta,gquil - centro,VENTA,Edificio,655.0,149.0,190000.0,m2,0,0.0,0.0,0,0.0,0.0,0.0,0.0
GUAYAQUIL,Km 8,gquil - samborondón,VENTA,VILLA,490.0,576.0,470000.0,m2.,0,0.0,0.0,0,0.0,0.0,0.0,0.0
